===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2023-10-30 12:40:56
count workspace : d:\myMd\gitee\myMd
total files : 1078
total code lines : 53095
total comment lines : 42799
total blank lines : 7563

#.code\alpha-beta（Java）\AlphaBeta.class, it is a binary file.
#.code\alpha-beta（Java）\AlphaBeta.java, code is 159, comment is 45, blank is 12.
#.code\alpha-beta（Java）\AlphaBeta算法.md, code is 53, comment is 5, blank is 7.
#.code\ArrayToQueue.java, code is 4, comment is 6, blank is 3.
#.code\C plus plus\CrashGuarder.cpp, code is 62, comment is 16, blank is 19.
#.code\ChessBoard.cpp, code is 118, comment is 16, blank is 0.
#.code\ChessBoard.h, code is 30, comment is 3, blank is 3.
#.code\ClearUp$Directions.class, it is a binary file.
#.code\ClearUp.class, it is a binary file.
#.code\ClearUp.java, code is 85, comment is 9, blank is 8.
#.code\CullingGroup.cs, code is 44, comment is 13, blank is 10.
#.code\EventDispatcher C#\Event.cs, code is 9, comment is 0, blank is 0.
#.code\EventDispatcher C#\EventDispatcher.cs, code is 28, comment is 0, blank is 2.
#.code\EventDispatcher C#\EventDispatcherObj.cs, code is 3, comment is 0, blank is 0.
#.code\EventDispatcher C#\EventListener.cs, code is 10, comment is 0, blank is 0.
#.code\EventDispatcher C#\EventName.cs, code is 3, comment is 0, blank is 0.
#.code\EventDispatcher C#\ReadMe.md, code is 2, comment is 1, blank is 1.
#.code\EventDispatcher.js, code is 91, comment is 0, blank is 27.
#.code\EventDispatcher\Event.cs, code is 9, comment is 0, blank is 0.
#.code\EventDispatcher\EventDispatcher.cs, code is 24, comment is 0, blank is 3.
#.code\EventDispatcher\EventListener.cs, code is 10, comment is 0, blank is 0.
#.code\EventDispatcher\EventName.cs, code is 3, comment is 0, blank is 0.
#.code\EventDispatcher\EventTest.cs, code is 51, comment is 0, blank is 7.
#.code\FrameSync.cs, code is 85, comment is 15, blank is 15.
#.code\FrameSync.py, code is 43, comment is 18, blank is 17.
#.code\FSM2\BaseState.cs, code is 9, comment is 12, blank is 3.
#.code\FSM2\MainState.cs, code is 13, comment is 0, blank is 7.
#.code\FSM2\StateMachine.cs, code is 54, comment is 26, blank is 7.
#.code\FSM\FSMBaseState.cs, code is 19, comment is 15, blank is 5.
#.code\FSM\FSMChaseState.cs, code is 39, comment is 4, blank is 7.
#.code\FSM\FSMPatrolState.cs, code is 45, comment is 11, blank is 10.
#.code\FSM\FSMSystem.cs, code is 53, comment is 28, blank is 4.
#.code\FSM\ReadMe.md, code is 2, comment is 1, blank is 2.
#.code\FSM\Slider.cs, code is 21, comment is 3, blank is 6.
#.code\Java版序列化与反序列化\Person.class, it is a binary file.
#.code\Java版序列化与反序列化\TestSerializeAndDeserialize.class, it is a binary file.
#.code\Java版序列化与反序列化\TestSerializeAndDeserialize.java, code is 55, comment is 6, blank is 12.
#.code\lc1011.cs, code is 5, comment is 0, blank is 1.
#.code\Lc200.cs, code is 322, comment is 3, blank is 38.
#.code\lc250.cs, code is 21, comment is 0, blank is 13.
#.code\Lc300.cs, code is 619, comment is 14, blank is 53.
#.code\Lc5.cs, code is 254, comment is 7, blank is 26.
#.code\leetcode840.class, it is a binary file.
#.code\leetcode840.java, code is 94, comment is 3, blank is 8.
#.code\leetcodePro.class, it is a binary file.
#.code\leetcodePro.java, code is 135, comment is 12, blank is 12.
#.code\list.c, code is 54, comment is 0, blank is 5.
#.code\list.h, code is 13, comment is 0, blank is 3.
#.code\LocalCommon.cs, code is 767, comment is 32, blank is 53.
#.code\LocalTry.cs, code is 282, comment is 21, blank is 24.
#.code\main.jsx, code is 2, comment is 1, blank is 0.
#.code\MaxDistToClosest.class, it is a binary file.
#.code\MaxDistToClosest.java, code is 30, comment is 9, blank is 4.
#.code\MaxMin.class, it is a binary file.
#.code\MaxMin.cpp, code is 58, comment is 1, blank is 4.
#.code\MaxMin.java, code is 239, comment is 62, blank is 16.
#.code\MiniMax.cpp, code is 118, comment is 21, blank is 4.
#.code\MiniMax.exe, it is a binary file.
#.code\MiniMaxAI.cpp, code is 184, comment is 25, blank is 2.
#.code\MiniMaxAI.h, code is 23, comment is 1, blank is 0.
#.code\MinMaxC.c, code is 383, comment is 32, blank is 37.
#.code\MinMaxC.exe, it is a binary file.
#.code\MotionMatching.cs, code is 59, comment is 2, blank is 14.
#.code\PBD.py, code is 118, comment is 30, blank is 28.
#.code\RandomTest.class, it is a binary file.
#.code\RandomTest.java, code is 103, comment is 13, blank is 9.
#.code\Sort.java, code is 4, comment is 0, blank is 1.
#.code\test.py, code is 7, comment is 1, blank is 0.
#.code\wxLogin.ts, code is 108, comment is 11, blank is 3.
#.code\三次样条插值\CircleQueue.h, code is 34, comment is 0, blank is 5.
#.code\三次样条插值\CubicSpline.h, code is 179, comment is 155, blank is 61.
#.code\倒数第K个节点.java, code is 12, comment is 0, blank is 0.
#.code\大数计算\test.js, code is 75, comment is 8, blank is 4.
#.code\无向图\Vertex.cs, code is 29, comment is 6, blank is 3.
#.code\无向图\VertexGraph.cs, code is 316, comment is 122, blank is 29.
#.code\无向图\VertexStruct.cs, code is 12, comment is 7, blank is 1.
#.code\链表是否有环.java, code is 15, comment is 0, blank is 0.
#.code\链表是否相交.java, code is 9, comment is 0, blank is 0.
#.code\链表的中间节点.java, code is 10, comment is 0, blank is 0.
#.DrawIO\2023.4.1 Review.xmind, it is a binary file.
#.DrawIO\DOTS-Plan.drawio, code is 1, comment is 1, blank is 0.
#.DrawIO\GameProgramer.km, code is 0, comment is 0, blank is 0.
#.DrawIO\Games104.xmind, it is a binary file.
#.DrawIO\InputDesign.drawio, code is 349, comment is 0, blank is 0.
#.DrawIO\InputSystemImf.drawio, code is 34, comment is 0, blank is 0.
#.DrawIO\Post.drawio, code is 1, comment is 0, blank is 0.
#.DrawIO\Post.km, code is 2293, comment is 0, blank is 0.
#.DrawIO\Post.png, it is a binary file.
#.DrawIO\Unity性能优化总览.xmind, it is a binary file.
#.DrawIO\全局光照技术：从离线到实时渲染.xmind, it is a binary file.
#.DrawIO\管线的可见性优化.drawio, code is 1, comment is 0, blank is 0.
#.net\blog.md, code is 9, comment is 9, blank is 14.
#.net\FireShot Capture 001 - UE4透明材质的理解和应用 - 知乎 - zhuanlan.zhihu.com.pdf, code is 5686, comment is 3944, blank is 32.
#.net\FireShot Capture 002 - 渲染路径（Rendering Path）：Forward、Deferred、Light-PrePass、Tiled、Clustered -_ - www.cnblogs.com.pdf, code is 3441, comment is 986, blank is 17.
#.print\Buff系统设计.pdf, code is 1383, comment is 887, blank is 5.
#.res\pdf\all.pdf, code is 302, comment is 0, blank is 0.
#.res\pic\1541918-20200310163229130-242794952.png, it is a binary file.
#.res\pic\1598754122780.png, it is a binary file.
#.res\pic\1617944-20190906001159387-965011107.png, it is a binary file.
#.res\pic\1617944-20190906001513349-915323989.png, it is a binary file.
#.res\pic\2021-06-21-11-08-56.png, it is a binary file.
#.res\pic\all.png, it is a binary file.
#.res\pic\all.webp, it is a binary file.
#.res\pic\image-20200904170836111.png, it is a binary file.
#.res\pic\image-20200914194537416.png, it is a binary file.
#.res\pic\image-20210120111823098.png, it is a binary file.
#.res\pic\nav10.gif, it is a binary file.
#.res\pic\nav11.gif, it is a binary file.
#.res\pic\nav8.gif, it is a binary file.
#.res\pic\nav9.gif, it is a binary file.
#.res\pic\object-render-pipeline.png, it is a binary file.
#.res\pic\QQ图片20200806215601.png, it is a binary file.
#.res\pic\U8GY{PU`MH@KDJJC{05@~0Y.png, it is a binary file.
.gitattributes, code is 2, comment is 0, blank is 0.
.gitignore, code is 2, comment is 0, blank is 0.
01.计算机科学\CIL.md, code is 2, comment is 0, blank is 8.
01.计算机科学\CPU架构.md, code is 17, comment is 3, blank is 30.
01.计算机科学\Dump.md, code is 30, comment is 9, blank is 36.
01.计算机科学\GPU架构.md, code is 40, comment is 3, blank is 23.
01.计算机科学\PNG&JPG.md, code is 229, comment is 38, blank is 130.
01.计算机科学\Windows内核原理与实现.xmind, it is a binary file.
01.计算机科学\操作系统.md, code is 35, comment is 1, blank is 40.
01.计算机科学\操作系统.pdf, code is 770, comment is 1376, blank is 19.
01.计算机科学\操作系统.xmind, it is a binary file.
01.计算机科学\数据结构\图.md, code is 4, comment is 0, blank is 8.
01.计算机科学\数据结构\堆栈.md, code is 0, comment is 0, blank is 0.
01.计算机科学\数据结构\字符串.md, code is 1, comment is 0, blank is 2.
01.计算机科学\数据结构\树.md, code is 7, comment is 0, blank is 6.
01.计算机科学\数据结构\链表.md, code is 13, comment is 0, blank is 10.
01.计算机科学\数据结构\队列.md, code is 0, comment is 0, blank is 0.
01.计算机科学\算法\leetcode\1.两数之和.cs, code is 35, comment is 10, blank is 2.
01.计算机科学\算法\leetcode\10.正则表达式匹配.cs, code is 4, comment is 77, blank is 3.
01.计算机科学\算法\leetcode\100.相同的树.cs, code is 13, comment is 68, blank is 1.
01.计算机科学\算法\leetcode\101.对称二叉树.cs, code is 26, comment is 58, blank is 2.
01.计算机科学\算法\leetcode\1011.在-d-天内送达包裹的能力.cs, code is 4, comment is 73, blank is 3.
01.计算机科学\算法\leetcode\102.二叉树的层序遍历.cs, code is 29, comment is 51, blank is 3.
01.计算机科学\算法\leetcode\1022.从根到叶的二进制数之和.cs, code is 22, comment is 58, blank is 3.
01.计算机科学\算法\leetcode\103.二叉树的锯齿形层次遍历.cs, code is 47, comment is 56, blank is 4.
01.计算机科学\算法\leetcode\1037.有效的回旋镖.cs, code is 4, comment is 45, blank is 3.
01.计算机科学\算法\leetcode\104.二叉树的最大深度.cs, code is 8, comment is 45, blank is 1.
01.计算机科学\算法\leetcode\1046.最后一块石头的重量.cs, code is 26, comment is 50, blank is 1.
01.计算机科学\算法\leetcode\105.从前序与中序遍历序列构造二叉树.cs, code is 25, comment is 46, blank is 1.
01.计算机科学\算法\leetcode\107.二叉树的层次遍历-ii.cs, code is 84, comment is 54, blank is 5.
01.计算机科学\算法\leetcode\108.将有序数组转换为二叉搜索树.cs, code is 15, comment is 45, blank is 2.
01.计算机科学\算法\leetcode\1089.复写零.cs, code is 19, comment is 49, blank is 1.
01.计算机科学\算法\leetcode\109.有序链表转换二叉搜索树.cs, code is 4, comment is 60, blank is 2.
01.计算机科学\算法\leetcode\11.盛最多水的容器.cs, code is 23, comment is 38, blank is 1.
01.计算机科学\算法\leetcode\110.平衡二叉树.cs, code is 14, comment is 69, blank is 2.
01.计算机科学\算法\leetcode\1108.ip-地址无效化.cs, code is 15, comment is 44, blank is 1.
01.计算机科学\算法\leetcode\111.二叉树的最小深度.cs, code is 18, comment is 50, blank is 1.
01.计算机科学\算法\leetcode\112.路径总和.cs, code is 10, comment is 46, blank is 1.
01.计算机科学\算法\leetcode\113.路径总和-ii.cs, code is 26, comment is 53, blank is 6.
01.计算机科学\算法\leetcode\1137.第-n-个泰波那契数.cs, code is 15, comment is 50, blank is 1.
01.计算机科学\算法\leetcode\114.二叉树展开为链表.cs, code is 25, comment is 58, blank is 1.
01.计算机科学\算法\leetcode\1143.最长公共子序列.cs, code is 4, comment is 59, blank is 3.
01.计算机科学\算法\leetcode\116.填充每个节点的下一个右侧节点指针.cs, code is 26, comment is 85, blank is 3.
01.计算机科学\算法\leetcode\1161.最大层内元素和.cs, code is 35, comment is 68, blank is 5.
01.计算机科学\算法\leetcode\117.填充每个节点的下一个右侧节点指针-ii.cs, code is 28, comment is 86, blank is 0.
01.计算机科学\算法\leetcode\118.杨辉三角.cs, code is 18, comment is 37, blank is 2.
01.计算机科学\算法\leetcode\1184.公交站间的距离.cs, code is 20, comment is 68, blank is 2.
01.计算机科学\算法\leetcode\119.杨辉三角-ii.cs, code is 17, comment is 35, blank is 1.
01.计算机科学\算法\leetcode\120.三角形最小路径和.cs, code is 20, comment is 43, blank is 3.
01.计算机科学\算法\leetcode\1207.独一无二的出现次数.cs, code is 21, comment is 51, blank is 1.
01.计算机科学\算法\leetcode\121.买卖股票的最佳时机.cs, code is 14, comment is 42, blank is 1.
01.计算机科学\算法\leetcode\122.买卖股票的最佳时机-ii.cs, code is 21, comment is 60, blank is 1.
01.计算机科学\算法\leetcode\1221.分割平衡字符串.cs, code is 10, comment is 60, blank is 2.
01.计算机科学\算法\leetcode\125.验证回文串.cs, code is 30, comment is 35, blank is 2.
01.计算机科学\算法\leetcode\1281.整数的各位积和之差.cs, code is 4, comment is 50, blank is 3.
01.计算机科学\算法\leetcode\1287.有序数组中出现次数超过-25-的元素.cs, code is 24, comment is 40, blank is 1.
01.计算机科学\算法\leetcode\129.求根到叶子节点数字之和.cs, code is 22, comment is 63, blank is 6.
01.计算机科学\算法\leetcode\1290.二进制链表转整数.cs, code is 16, comment is 75, blank is 1.
01.计算机科学\算法\leetcode\13.罗马数字转整数.cs, code is 30, comment is 88, blank is 4.
01.计算机科学\算法\leetcode\130.被围绕的区域.cs, code is 34, comment is 44, blank is 1.
01.计算机科学\算法\leetcode\1314.矩阵区域和.cs, code is 4, comment is 52, blank is 2.
01.计算机科学\算法\leetcode\1317.将整数转换为两个无零整数的和.cs, code is 4, comment is 73, blank is 2.
01.计算机科学\算法\leetcode\133.克隆图.cs, code is 17, comment is 112, blank is 3.
01.计算机科学\算法\leetcode\134.加油站.cs, code is 28, comment is 65, blank is 2.
01.计算机科学\算法\leetcode\1342.将数字变成-0-的操作次数.cs, code is 19, comment is 60, blank is 2.
01.计算机科学\算法\leetcode\135.分发糖果.cs, code is 4, comment is 44, blank is 3.
01.计算机科学\算法\leetcode\136.只出现一次的数字.cs, code is 11, comment is 36, blank is 1.
01.计算机科学\算法\leetcode\137.只出现一次的数字-ii.cs, code is 15, comment is 36, blank is 1.
01.计算机科学\算法\leetcode\138.复制带随机指针的链表.cs, code is 19, comment is 86, blank is 4.
01.计算机科学\算法\leetcode\1380.矩阵中的幸运数.cs, code is 4, comment is 61, blank is 3.
01.计算机科学\算法\leetcode\1385.两个数组间的距离值.cs, code is 16, comment is 75, blank is 1.
01.计算机科学\算法\leetcode\14.最长公共前缀.cs, code is 61, comment is 40, blank is 12.
01.计算机科学\算法\leetcode\141.环形链表.cs, code is 20, comment is 83, blank is 2.
01.计算机科学\算法\leetcode\142.环形链表-ii.cs, code is 28, comment is 85, blank is 2.
01.计算机科学\算法\leetcode\143.重排链表.cs, code is 48, comment is 43, blank is 3.
01.计算机科学\算法\leetcode\1437.是否所有-1-都至少相隔-k-个元素.cs, code is 16, comment is 62, blank is 1.
01.计算机科学\算法\leetcode\1439.有序矩阵中的第-k-个最小数组和.cs, code is 4, comment is 66, blank is 2.
01.计算机科学\算法\leetcode\144.二叉树的前序遍历.cs, code is 44, comment is 84, blank is 5.
01.计算机科学\算法\leetcode\1441.用栈操作构建数组.cs, code is 4, comment is 80, blank is 3.
01.计算机科学\算法\leetcode\145.二叉树的后序遍历.cs, code is 23, comment is 47, blank is 2.
01.计算机科学\算法\leetcode\1450.在既定时间做作业的学生人数.cs, code is 11, comment is 74, blank is 1.
01.计算机科学\算法\leetcode\146.lru缓存机制.cs, code is 47, comment is 59, blank is 5.
01.计算机科学\算法\leetcode\147.对链表进行插入排序.cs, code is 13, comment is 57, blank is 1.
